"","firm","longitude","latitude","collected"
"242","starbucks",-104.995192,39.958914,2008
"243","starbucks",-104.995194,39.746517,2008
"244","starbucks",-104.995635,39.7492,2008
"245","starbucks",-104.996125,39.737375,2008
"246","starbucks",-104.996758,39.691662,2008
"247","starbucks",-104.99711,39.746019,2008
"248","starbucks",-104.997193,39.863538,2008
"249","starbucks",-104.99817,39.748605,2008
"250","starbucks",-104.999539,39.747538,2008
"251","starbucks",-104.999551,39.914442,2008
"252","starbucks",-105.001077,39.739674,2008
"253","starbucks",-105.0021,39.653248,2008
"254","starbucks",-105.002645,39.753182,2008
"255","starbucks",-105.008095,39.5984,2008
"256","starbucks",-105.0098,39.5451,2008
"257","starbucks",-105.01393,39.930057,2008
"258","starbucks",-105.015427,39.943111,2008
"259","starbucks",-105.016159,39.535905,2008
"260","starbucks",-105.018652,39.624027,2008
"261","starbucks",-105.023371,39.883587,2008
"262","starbucks",-105.024868,39.760107,2008
"263","starbucks",-105.024949,39.776611,2008
"264","starbucks",-105.025066,39.829958,2008
"265","starbucks",-105.025229,39.884625,2008
"266","starbucks",-105.026422,39.584855,2008
"267","starbucks",-105.035461,39.610387,2008
"268","starbucks",-105.035591,39.548595,2008
"269","starbucks",-105.035945,39.956795,2008
"270","starbucks",-105.036897,39.776077,2008
"271","starbucks",-105.038027,40.551404,2008
"272","starbucks",-105.039456,40.522958,2008
"273","starbucks",-105.045715,39.769076,2008
"274","starbucks",-105.04665,38.982758,2008
"275","starbucks",-105.051811,40.52465,2008
"276","starbucks",-105.052192,39.912303,2008
"277","starbucks",-105.0524,40.5301,2008
"278","starbucks",-105.052675,39.654621,2008
"279","starbucks",-105.053042,39.869007,2008
"280","starbucks",-105.053377,39.828108,2008
"281","starbucks",-105.05359,39.750481,2008
"282","starbucks",-105.0537,39.914075,2008
"283","starbucks",-105.054618,39.681053,2008
"284","starbucks",-105.05485,39.915145,2008
"285","starbucks",-105.055143,39.746323,2008
"286","starbucks",-105.056593,38.99443,2008
"287","starbucks",-105.059123,40.55051,2008
"288","starbucks",-105.070405,39.915138,2008
"289","starbucks",-105.07161,40.525246,2008
"290","starbucks",-105.0728,39.5806,2008
"291","starbucks",-105.073337,39.48278,2008
"292","starbucks",-105.07339,40.18618,2008
"293","starbucks",-105.073862,40.52363,2008
"294","starbucks",-105.073944,40.187424,2008
"295","starbucks",-105.076126,39.79795,2008
"296","starbucks",-105.076155,40.577866,2008
"297","starbucks",-105.076206,40.537609,2008
"298","starbucks",-105.076242,39.886808,2008
"299","starbucks",-105.076548,40.588492,2008
"300","starbucks",-105.076902,40.582214,2008
"301","starbucks",-105.077605,40.424508,2008
"302","starbucks",-105.078013,39.758438,2008
"303","starbucks",-105.078693,39.886307,2008
"304","starbucks",-105.080298,39.567326,2008
"305","starbucks",-105.08091,39.841886,2008
"306","starbucks",-105.081017,39.816761,2008
"307","starbucks",-105.081066,39.716533,2008
"308","starbucks",-105.081319,39.682546,2008
"309","starbucks",-105.08134,39.771702,2008
"310","starbucks",-105.082396,39.844257,2008
"311","starbucks",-105.085271,39.709732,2008
"312","starbucks",-105.085389,39.840041,2008
"313","starbucks",-105.09031,39.60612,2008
"314","starbucks",-105.092405,40.552751,2008
"315","starbucks",-105.094862,39.987023,2008
"316","starbucks",-105.096237,40.000207,2008
"317","starbucks",-105.096725,40.01475,2008
"318","starbucks",-105.096942,39.880058,2008
"319","starbucks",-105.097967,40.379161,2008
"320","starbucks",-105.098648,40.406897,2008
"321","starbucks",-105.098917,39.73938,2008
"322","starbucks",-105.100622,40.573674,2008
"323","starbucks",-105.10065,40.015064,2008
"324","starbucks",-105.10078,39.610758,2008
"325","starbucks",-105.102342,40.189266,2008
